=== M4 Max F vs Lem sweep medians (5 runs, 2026-05-20) ===
    n     F.hb    L.hb     d%     F.hs    L.hs     d%     F.cb    L.cb     d%     F.cs    L.cs     d%
  137    13.92   14.46   -3.7    16.59   21.62  -23.2   126.67  145.62  -13.0   355.62  390.21   -8.9
  141    16.31   15.39   +5.9    17.36   20.94  -17.1   123.55  148.96  -17.1   309.58  260.83  +18.7
  146    15.08   14.34   +5.1    17.11   21.69  -21.1   127.70  156.25  -18.3   357.08  236.25  +51.1
  151    16.21   14.39  +12.7    17.98   21.39  -15.9   127.08  159.38  -20.3   342.08  245.83  +39.2
  156    18.02   15.63  +15.2    18.40   21.80  -15.6   141.04  160.21  -12.0   381.88  270.62  +41.1
  161    17.46   14.27  +22.3    20.25   21.69   -6.7   146.88  158.33   -7.2   288.96  278.75   +3.7
  167    17.63   15.63  +12.8    19.87   21.95   -9.5   134.38  155.41  -13.5   281.04  237.29  +18.4
  172    17.30   16.19   +6.9    19.95   22.19  -10.1   188.12  178.96   +5.1   297.08  257.92  +15.2
  178    19.39   15.31  +26.6    23.80   22.47   +5.9   173.54  180.21   -3.7   284.79  274.79   +3.6
  184    20.49   15.75  +30.1    21.21   23.02   -7.9   152.91  173.96  -12.1   313.12  251.88  +24.3
  190    19.15   16.52  +15.9    21.60   24.13  -10.5   173.75  170.84   +1.7   337.08  283.75  +18.8
  197    15.27   16.34   -6.5    17.95   22.80  -21.3   133.12  180.21  -26.1   427.50  282.08  +51.6
  203    16.10   15.92   +1.1    22.02   23.72   -7.2   140.84  162.71  -13.4   307.30  288.12   +6.7
  210    16.66   16.47   +1.1    19.69   23.59  -16.5   144.79  177.71  -18.5   333.54  311.88   +6.9
  217    16.88   16.72   +1.0    20.68   25.31  -18.3   151.25  178.96  -15.5   281.46  297.08   -5.3
  224    18.23   16.77   +8.7    22.01   25.22  -12.8   141.66  184.38  -23.2   317.92  293.12   +8.5
  232    19.28   18.31   +5.3    22.04   26.85  -17.9   141.04  170.21  -17.1   313.54  330.00   -5.0
  240    18.79   18.66   +0.7    21.84   27.13  -19.5   157.91  178.54  -11.6   337.92  323.75   +4.4
  248    20.26   19.77   +2.5    22.68   27.53  -17.6   145.41  176.46  -17.6   393.12  309.79  +26.9
  256    14.51   17.95  -19.1    18.52   27.56  -32.8   140.21  183.96  -23.8   273.75  345.00  -20.7
  265    15.97   19.98  -20.1    18.32   29.17  -37.2   132.71  181.25  -26.8   388.75  315.00  +23.4
  273    16.99   19.35  -12.2    19.11   28.22  -32.3   131.46  191.04  -31.2   428.33  356.46  +20.2
  283    16.77   20.75  -19.2    20.76   30.05  -30.9   136.88  191.66  -28.6   448.75  337.92  +32.8
  292    18.05   20.32  -11.1    20.26   29.01  -30.2   142.50  185.00  -23.0   389.58  330.62  +17.8
  302    19.63   21.70   -9.5    20.64   30.65  -32.7   147.29  198.34  -25.7   389.79  310.00  +25.7
  312    18.64   21.98  -15.2    20.94   30.09  -30.4   152.08  205.41  -26.0   433.55  358.54  +20.9
  323    15.48   20.61  -24.9    18.73   29.81  -37.2   128.96  201.46  -36.0   483.96  339.58  +42.5
  333    16.44   20.10  -18.2    20.16   30.51  -33.9   157.09  181.88  -13.6   342.30  341.67   +0.2
  345    17.20   21.18  -18.8    21.29   32.28  -34.1   156.46  195.41  -19.9   387.92  338.95  +14.4
  356    17.56   22.15  -20.7    19.78   30.85  -35.9   171.66  189.79   -9.6   328.96  351.05   -6.3
  368    18.23   20.95  -13.0    21.36   30.03  -28.9   167.50  195.41  -14.3   304.17  334.58   -9.1
  380    18.86   21.17  -10.9    22.04   31.34  -29.7   161.25  182.92  -11.8   321.67  333.33   -3.5
  393    17.88   23.04  -22.4    21.07   32.21  -34.6   136.46  191.66  -28.8   353.54  355.83   -0.6
  406    18.60   23.94  -22.3    21.92   33.51  -34.6   140.62  202.71  -30.6   333.55  370.42  -10.0
  420    18.54   21.29  -12.9    21.87   31.58  -30.7   141.88  190.00  -25.3   434.17  334.79  +29.7
  434    19.15   22.05  -13.2    22.44   33.22  -32.4   152.08  205.84  -26.1   311.88  330.00   -5.5
  449    16.86   22.80  -26.1    19.58   32.57  -39.9   183.54  239.38  -23.3   296.45  350.42  -15.4
  464    17.01   21.50  -20.9    21.70   32.62  -33.5   174.17  236.04  -26.2   305.62  403.96  -24.3
  479    18.12   21.61  -16.1    21.04   32.77  -35.8   201.04  217.71   -7.7   427.92  398.12   +7.5
  495    18.77   22.23  -15.5    21.20   32.16  -34.1   163.12  203.75  -19.9   267.50  334.17  -19.9
  512    16.68   22.52  -25.9    19.56   30.81  -36.5   153.75  219.16  -29.8   258.12  323.12  -20.1
  529    18.30   23.76  -23.0    21.90   35.54  -38.4   138.75  203.96  -32.0   315.42  356.05  -11.4
  547    18.78   24.83  -24.4    20.97   33.74  -37.9   149.58  219.38  -31.8   344.38  377.71   -8.8
  565    19.58   25.39  -22.9    22.32   34.83  -35.9   150.41  210.84  -28.7   390.83  378.33   +3.3
  584    19.21   23.71  -19.0    21.55   33.26  -35.2   158.96  200.21  -20.6   287.92  340.20  -15.4
  604    19.12   23.99  -20.3    22.68   34.19  -33.7   142.29  199.38  -28.6   288.33  358.33  -19.5
  624    20.46   26.97  -24.1    23.37   34.65  -32.6   154.59  196.04  -21.1   380.42  364.38   +4.4
  645    18.58   24.93  -25.5    22.11   34.40  -35.7   155.00  190.84  -18.8   273.75  343.33  -20.3
  667    19.47   25.51  -23.7    22.03   35.71  -38.3   154.79  206.46  -25.0   275.21  347.30  -20.8
  689    20.61   25.20  -18.2    23.04   35.09  -34.4   155.00  202.71  -23.5   367.08  345.62   +6.2
  712    19.14   25.80  -25.8    22.55   36.71  -38.6   171.25  197.29  -13.2   310.42  365.42  -15.1
  736    20.16   26.51  -24.0    23.65   35.06  -32.6   163.96  204.38  -19.8   365.83  367.29   -0.4
  761    21.21   26.31  -19.4    24.03   37.55  -36.0   180.21  227.09  -20.6   301.88  371.88  -18.8
  786    19.01   24.78  -23.3    23.99   35.07  -31.6   156.25  184.17  -15.2   329.17  373.54  -11.9
  813    19.77   26.69  -25.9    22.06   37.45  -41.1   144.79  217.71  -33.5   287.92  403.96  -28.7
  840    19.76   26.60  -25.7    22.50   36.59  -38.5   148.54  214.16  -30.6   291.67  390.42  -25.3
  868    19.93   28.13  -29.1    22.85   38.91  -41.3   173.34  209.16  -17.1   332.50  408.33  -18.6
  897    19.07   26.91  -29.1    22.82   36.89  -38.1   157.71  220.21  -28.4   270.42  381.25  -29.1
  927    20.50   29.32  -30.1    22.74   39.58  -42.5   150.84  216.04  -30.2   352.29  388.54   -9.3
  959    21.59   29.44  -26.7    24.47   40.45  -39.5   162.09  214.79  -24.5   291.88  393.12  -25.8
  991    20.82   28.16  -26.1    23.60   39.45  -40.2   168.34  195.84  -14.0   326.46  413.55  -21.1
 1024    22.05   32.39  -31.9    22.74   41.34  -45.0   146.66  199.79  -26.6   393.33  413.55   -4.9
 1058    21.73   33.80  -35.7    23.51   42.44  -44.6   154.38  240.00  -35.7   323.75  412.71  -21.6
 1094    22.27   32.27  -31.0    25.14   41.38  -39.2   175.83  222.50  -21.0   408.55  423.95   -3.6
 1131    23.09   33.22  -30.5    25.48   43.31  -41.2   177.50  236.25  -24.9   361.04  483.96  -25.4
 1169    22.94   33.71  -32.0    25.83   44.19  -41.6   179.59  266.67  -32.7   435.83  394.38  +10.5
 1208    22.50   32.23  -30.2    25.85   41.58  -37.8   167.29  218.33  -23.4   296.67  410.62  -27.8
 1248    23.97   31.99  -25.1    25.39   41.53  -38.9   176.25  233.75  -24.6   286.67  445.83  -35.7
 1290    21.89   30.36  -27.9    26.25   44.92  -41.6   179.79  217.09  -17.2   283.75  406.67  -30.2
 1333    21.87   31.73  -31.1    24.98   41.19  -39.3   172.29  249.59  -31.0   337.08  452.50  -25.5
 1378    22.89   32.46  -29.5    26.24   42.54  -38.3   161.66  209.79  -22.9   480.42  459.58   +4.5
 1424    23.13   32.68  -29.2    25.07   41.36  -39.4   167.50  209.17  -19.9   490.20  445.62  +10.0
 1472    21.33   32.74  -34.9    24.96   42.37  -41.1   180.62  233.12  -22.5   463.75  448.55   +3.4
 1522    21.75   32.40  -32.9    26.10   44.28  -41.1   174.17  240.41  -27.6   468.75  432.30   +8.4
 1573    23.77   33.74  -29.5    25.81   43.93  -41.3   172.71  228.12  -24.3   312.29  429.58  -27.3
 1625    24.11   34.10  -29.3    26.81   45.54  -41.1   168.96  239.58  -29.5   279.17  462.29  -39.6
 1680    23.53   33.71  -30.2    25.91   45.22  -42.7   183.96  242.92  -24.3   395.21  474.80  -16.8
 1736    24.16   34.02  -29.0    27.17   45.78  -40.6   166.46  224.59  -25.9   367.70  442.08  -16.8
 1795    23.23   35.94  -35.4    26.32   46.37  -43.2   167.29  247.92  -32.5   283.95  463.33  -38.7
 1855    22.81   34.36  -33.6    29.13   45.97  -36.6   157.71  242.09  -34.9   445.62  494.79   -9.9
 1917    24.96   37.89  -34.1    27.06   45.42  -40.4   168.96  253.75  -33.4   352.29  482.50  -27.0
 1982    25.00   35.71  -30.0    28.33   47.49  -40.3   169.79  235.41  -27.9   335.62  468.75  -28.4
 2048    22.33   33.19  -32.7    26.71   46.10  -42.1   151.66  264.58  -42.7   352.29  513.96  -31.5
 2117    25.45   36.03  -29.4    30.61   50.21  -39.0   156.46  258.33  -39.4   327.08  510.00  -35.9
 2188    25.69   36.59  -29.8    30.75   49.34  -37.7   163.96  303.96  -46.1   330.83  536.46  -38.3
 2261    26.31   35.03  -24.9    28.63   47.48  -39.7   170.21  279.80  -39.2   323.75  519.16  -37.6
 2337    26.70   36.54  -26.9    29.11   48.60  -40.1   175.41  325.00  -46.0   321.04  526.04  -39.0
 2415    27.16   35.21  -22.9    29.18   48.82  -40.2   159.79  267.50  -40.3   358.54  616.46  -41.8
 2497    26.98   35.60  -24.2    26.95   46.31  -41.8   180.62  280.83  -35.7   382.92  514.58  -25.6
 2580    24.44   38.07  -35.8    28.85   47.88  -39.8   177.09  286.05  -38.1   302.92  511.25  -40.8
 2667    25.63   36.28  -29.4    29.26   47.28  -38.1   168.75  292.08  -42.2   342.71  507.50  -32.5
 2756    25.08   37.26  -32.7    28.33   48.59  -41.7   158.33  319.58  -50.5   337.29  524.16  -35.7
 2849    26.73   37.41  -28.6    28.75   49.35  -41.7   169.38  373.75  -54.7   313.55  523.75  -40.1
 2945    24.65   36.91  -33.2    28.75   48.94  -41.3   182.50  373.96  -51.2   397.92  549.79  -27.6
 3043    27.07   36.18  -25.2    34.32   55.36  -38.0   198.12  307.30  -35.5   473.96  613.75  -22.8
 3145    27.40   36.78  -25.5    29.38   50.60  -41.9   172.29  295.42  -41.7   375.20  603.34  -37.8
 3251    29.30   38.66  -24.2    30.64   50.06  -38.8   176.25  301.67  -41.6   303.12  542.50  -44.1
 3360    27.69   45.38  -39.0    31.35   55.15  -43.2   174.59  348.96  -50.0   363.12  629.38  -42.3
 3473    28.73   40.21  -28.6    31.84   53.78  -40.8   180.62  351.04  -48.5   353.75  605.00  -41.5
 3589    27.32   37.34  -26.8    31.37   65.48  -52.1   161.88  241.46  -33.0   380.00  472.50  -19.6
 3710    25.28   39.55  -36.1    28.15   51.01  -44.8   181.88  248.12  -26.7   365.42  578.96  -36.9
 3834    27.29   39.12  -30.2    34.46   55.61  -38.0   172.50  248.12  -30.5   312.08  516.25  -39.5
 3963    25.99   41.29  -37.0    30.98   52.25  -40.7   164.79  226.88  -27.4   322.50  562.71  -42.7
 4096    24.98   43.39  -42.4    29.53   60.54  -51.2   148.33  251.66  -41.1   299.17  523.12  -42.8
 4233    32.61   44.07  -26.0    35.26   59.30  -40.5   185.00  351.25  -47.3   315.00  609.38  -48.3
 4376    30.15   42.14  -28.4    37.94   51.92  -26.9   175.00  361.46  -51.6   339.17  689.38  -50.8
 4522    29.20   46.26  -36.9    35.63   62.14  -42.7   204.16  400.21  -49.0   531.66  602.50  -11.8
 4674    40.51   53.66  -24.5    33.58   70.61  -52.4   204.17  455.21  -55.1   407.08  663.12  -38.6
 4831    29.81   43.60  -31.6    34.28   54.54  -37.1   179.58  406.46  -55.8   318.75  518.12  -38.5
 4993    31.15   44.10  -29.4    33.15   56.59  -41.4   176.46  392.70  -55.1   408.33  557.91  -26.8
 5161    29.47   44.82  -34.2    32.74   53.43  -38.7   161.67  442.50  -63.5   322.29  626.04  -48.5
 5334    32.66   44.48  -26.6    36.32   62.02  -41.4   172.71  279.79  -38.3   332.08  658.54  -49.6
 5513    33.77   42.17  -19.9    40.73   76.49  -46.8   166.88  261.05  -36.1   325.00  582.29  -44.2
 5698    40.04   57.13  -29.9    37.46   60.63  -38.2   180.00  258.96  -30.5   488.54  796.66  -38.7
 5889    33.87   53.97  -37.2    36.49   64.57  -43.5   173.75  280.62  -38.1   351.88  614.79  -42.8
 6087    39.09   57.94  -32.5    39.26   56.43  -30.4   184.59  415.21  -55.5   316.04  653.34  -51.6
 6291    39.93   57.09  -30.1    39.23   62.27  -37.0   182.29  444.58  -59.0   437.71  600.00  -27.0
 6502    34.58   48.74  -29.1    40.62   59.17  -31.4   177.09  479.17  -63.0   347.70  662.71  -47.5
 6720    37.21   50.72  -26.6    36.58   70.57  -48.2   198.96  371.67  -46.5   392.29  666.25  -41.1
 6946    37.95   50.97  -25.5    38.28   57.14  -33.0   184.17  426.67  -56.8   363.75  660.62  -44.9
 7179    31.98   47.36  -32.5    36.26   63.22  -42.6   216.46  281.45  -23.1   382.08  547.71  -30.2
 7420    31.20   51.41  -39.3    41.18   70.13  -41.3   196.25  274.58  -28.5   413.75  597.50  -30.8
 7669    31.18   65.52  -52.4    38.38   70.45  -45.5   170.21  253.75  -32.9   414.58  600.62  -31.0
 7926    34.86   62.07  -43.8    35.97   58.94  -39.0   191.66  270.42  -29.1   351.67  625.42  -43.8
 8192    37.36   60.43  -38.2    37.78   70.38  -46.3   170.42  263.96  -35.4   362.08  576.04  -37.1

=== F vs Lem summary (median across all sweep n) ===
  hot_bat    median F vs Lem  -19.2%   F-wins/ties/F-losses = 148/5/47/200 min=-61.4% max=+49.5%
  hot_ser    median F vs Lem  -34.1%   F-wins/ties/F-losses = 189/4/7/200 min=-60.8% max=+8.1%
  cold_bat   median F vs Lem  -21.1%   F-wins/ties/F-losses = 179/3/18/200 min=-63.5% max=+98.0%
  cold_ser   median F vs Lem  -18.6%   F-wins/ties/F-losses = 127/3/70/200 min=-57.3% max=+90.0%

# paste into plot.py:
m4_fvl_sweep = {
    1: {"hb":(8.166,9.014), "hs":(10.103,13.172), "cb":(93.750,103.125), "cs":(261.455,152.915)},
    2: {"hb":(15.472,15.313), "hs":(16.678,17.823), "cb":(100.000,113.330), "cs":(292.290,159.585)},
    3: {"hb":(17.839,17.668), "hs":(17.986,18.695), "cb":(109.585,117.085), "cs":(281.045,161.040)},
    4: {"hb":(18.294,18.611), "hs":(18.958,19.500), "cb":(109.795,128.955), "cs":(278.335,154.375)},
    5: {"hb":(19.100,19.369), "hs":(19.981,20.095), "cb":(121.250,139.790), "cs":(292.085,155.420)},
    6: {"hb":(19.359,19.467), "hs":(20.001,20.115), "cb":(117.085,151.875), "cs":(295.210,160.830)},
    7: {"hb":(20.150,19.408), "hs":(20.422,20.675), "cb":(121.875,155.420), "cs":(292.085,153.750)},
    8: {"hb":(7.818,20.272), "hs":(8.245,21.015), "cb":(87.500,152.915), "cs":(113.960,239.790)},
    9: {"hb":(9.760,20.907), "hs":(9.999,21.712), "cb":(85.830,153.750), "cs":(126.250,229.585)},
    10: {"hb":(10.917,21.170), "hs":(11.192,21.702), "cb":(88.335,188.335), "cs":(136.045,248.960)},
    11: {"hb":(13.034,21.190), "hs":(13.024,21.989), "cb":(91.250,172.085), "cs":(158.125,233.335)},
    12: {"hb":(14.406,21.115), "hs":(13.878,21.732), "cb":(96.455,217.290), "cs":(160.625,239.580)},
    13: {"hb":(15.242,20.905), "hs":(16.667,21.584), "cb":(102.920,183.335), "cs":(163.335,229.585)},
    14: {"hb":(16.660,21.319), "hs":(17.104,22.365), "cb":(101.040,212.500), "cs":(189.585,222.080)},
    15: {"hb":(17.965,21.594), "hs":(18.404,21.968), "cb":(109.585,241.875), "cs":(216.460,211.665)},
    16: {"hb":(7.921,9.657), "hs":(8.162,15.088), "cb":(94.165,117.500), "cs":(108.960,247.500)},
    17: {"hb":(9.053,10.644), "hs":(9.150,16.504), "cb":(91.875,112.290), "cs":(127.710,261.460)},
    18: {"hb":(10.091,11.276), "hs":(10.251,16.524), "cb":(95.210,115.415), "cs":(127.500,259.585)},
    19: {"hb":(11.122,12.386), "hs":(11.372,16.599), "cb":(111.670,120.830), "cs":(130.625,253.335)},
    20: {"hb":(12.188,13.429), "hs":(12.176,18.342), "cb":(99.375,116.460), "cs":(135.830,277.290)},
    21: {"hb":(12.796,14.318), "hs":(12.945,18.035), "cb":(100.625,114.585), "cs":(155.420,251.250)},
    22: {"hb":(13.245,14.498), "hs":(13.154,18.447), "cb":(96.040,110.210), "cs":(149.790,254.165)},
    23: {"hb":(14.279,15.019), "hs":(14.248,19.419), "cb":(115.210,103.955), "cs":(166.250,235.205)},
    24: {"hb":(14.812,16.214), "hs":(15.124,18.870), "cb":(100.000,112.920), "cs":(162.500,238.125)},
    25: {"hb":(15.634,16.026), "hs":(15.684,19.965), "cb":(106.040,125.000), "cs":(172.500,277.295)},
    26: {"hb":(17.055,16.367), "hs":(17.001,19.724), "cb":(110.205,110.625), "cs":(172.295,221.460)},
    27: {"hb":(16.582,17.365), "hs":(17.509,19.866), "cb":(106.460,118.960), "cs":(194.375,211.250)},
    28: {"hb":(18.023,17.376), "hs":(18.095,20.283), "cb":(240.000,132.705), "cs":(187.290,230.625)},
    29: {"hb":(18.205,17.890), "hs":(18.681,21.530), "cb":(106.875,126.875), "cs":(199.790,203.335)},
    30: {"hb":(19.658,19.415), "hs":(19.759,20.726), "cb":(115.835,136.455), "cs":(196.250,211.875)},
    31: {"hb":(19.962,19.434), "hs":(19.968,21.306), "cb":(145.625,135.210), "cs":(207.915,192.500)},
    32: {"hb":(8.137,10.226), "hs":(8.111,16.432), "cb":(91.460,112.915), "cs":(104.375,244.585)},
    33: {"hb":(8.887,10.928), "hs":(8.994,17.452), "cb":(97.290,114.790), "cs":(119.165,250.625)},
    34: {"hb":(9.129,11.654), "hs":(9.641,17.759), "cb":(96.460,115.835), "cs":(121.455,262.290)},
    35: {"hb":(9.408,12.213), "hs":(9.983,18.169), "cb":(93.750,116.040), "cs":(119.375,267.085)},
    37: {"hb":(11.159,12.721), "hs":(11.255,18.967), "cb":(99.375,112.915), "cs":(124.790,277.080)},
    38: {"hb":(11.607,13.074), "hs":(11.781,18.607), "cb":(97.500,115.625), "cs":(136.875,250.210)},
    39: {"hb":(11.693,13.854), "hs":(11.975,19.214), "cb":(109.375,112.705), "cs":(123.125,257.705)},
    40: {"hb":(12.401,14.269), "hs":(12.414,18.980), "cb":(103.330,112.500), "cs":(151.460,267.500)},
    42: {"hb":(13.489,14.745), "hs":(13.622,19.585), "cb":(96.045,117.710), "cs":(126.665,242.500)},
    43: {"hb":(13.710,15.287), "hs":(14.156,20.120), "cb":(98.960,115.625), "cs":(180.210,243.335)},
